file,vertices,faces,triangles_estimate
Assets/VoxBox/Models/Numbers/9/9.obj,72,48,48
Assets/VoxBox/Models/Power Ups/Bottle/Bottle.obj,514,344,344
Assets/VoxBox/Models/Power Ups/Flash/FLASH.obj,648,428,428
Assets/VoxBox/Models/Power Ups/Key/Key.obj,324,216,216
Assets/VoxBox/Models/Power Ups/Magnet/Magnet.obj,408,276,276
Assets/VoxBox/Models/Power Ups/Shield/Shield.obj,1164,772,772
Assets/VoxBox/Models/Sea Creatures/Crab/Crab.obj,1076,728,728
Assets/VoxBox/Models/Sea Creatures/Crocodile/Crocodile.obj,1616,1096,1096
Assets/VoxBox/Models/Sea Creatures/Fish/Fish.obj,989,826,826
Assets/VoxBox/Models/Sea Creatures/Frog/Frog.obj,952,1016,1016
Assets/VoxBox/Models/Sea Creatures/Shark/Shark.obj,530,368,368
Assets/VoxBox/Models/Sea Creatures/Turtle/Turtle.obj,918,696,696
Assets/VoxBox/Models/Tiles/Tile1/Tile1.obj,192,220,220
Assets/VoxBox/Models/Tiles/Tile2/Tile2.obj,568,380,380
Assets/VoxBox/Models/Tiles/Tile3/Tile3.obj,312,324,324
Assets/VoxBox/Models/Tiles/Tile4/Tile4.obj,1008,652,652
Assets/VoxBox/Models/Tiles/Tile5/Tile5.obj,178,220,220
Assets/VoxBox/Models/Tiles/Tile6/Tile6.obj,256,196,196
Assets/VoxBox/Models/Tiles/Tile7/Tile7.obj,96,100,100
Assets/VoxBox/Models/Trees/Tree1/Tree1.obj,208,128,128
Assets/VoxBox/Models/Trees/Tree2/Tree2.obj,2256,1488,1488
Assets/VoxBox/Models/Trees/Tree3/Tree3.obj,2826,1880,1880
Assets/VoxBox/Models/Trees/Tree4/Tree4.obj,1487,982,982
Assets/VoxBox/Models/Trees/Tree5/Tree5.obj,684,452,452
Assets/VoxBox/Models/Vehicles/Bike/Bike.obj,1878,1468,1468
Assets/VoxBox/Models/Vehicles/Car1/Car1.obj,980,648,648
Assets/VoxBox/Models/Vehicles/Car2/Car2.obj,772,596,596
Assets/VoxBox/Models/Vehicles/Car3/Car3.obj,856,668,668
Assets/VoxBox/Models/Vehicles/Car4/Car4.obj,1384,912,912
Assets/VoxBox/Models/Weapons/Arrows/Arrow.obj,716,436,436
Assets/VoxBox/Models/Weapons/Axe/Axe.obj,324,212,212
Assets/VoxBox/Models/Weapons/Bow/Bow.obj,700,488,488
Assets/VoxBox/Models/Weapons/Gun1/Gun1.obj,822,876,876
Assets/VoxBox/Models/Weapons/Gun2/Gun2.obj,792,556,556
Assets/VoxBox/Models/Weapons/Gun3/Gun3.obj,536,404,404
Assets/VoxBox/Models/Weapons/Gun4/Gun4.obj,320,336,336
Assets/VoxBox/Models/Weapons/Gun5/Gun5.obj,952,928,928
Assets/VoxBox/Models/Weapons/Gun6/Gun6.obj,1148,976,976
Assets/VoxBox/Models/Weapons/Gun7/Gun7.obj,710,676,676
Assets/VoxBox/Models/Weapons/Knife/Knife.obj,569,430,430
Assets/VoxBox/Models/Weapons/Sword/Sword.obj,728,560,560
Assets/VoxBox/Models/Wooden Objects/Wooden Barrel/WoodenBarrel.obj,2661,1794,1794
Assets/VoxBox/Models/Wooden Objects/Wooden Box/WoodenBox.obj,496,340,340
Assets/VoxBox/Models/Wooden Objects/Wooden Chest/WoodenChest.obj,1809,1598,1598
Assets/VoxBox/Models/Wooden Objects/Wooden Lamps/WoodenLamp.obj,1582,1044,1044
Assets/VoxBox/Models/Wooden Objects/Wooden Pillar/WoodenPillar.obj,2110,1682,1682
